,SARS,MERS,Influenza,Ebola
ZNRF3,0.015968530550633325,0.10099217693336357,,0.13976462478399462
SPARC,0.1806420020947231,0.15435638908682078,0.208006711826601,0.035600190320826536
PPP1R3E,0.015968530550633325,,,
TSHB,0.16362870022531148,,,0.0707412266312712
SLC2A5,0.112474473983088,0.016264403793095454,0.029538262835001616,0.13874864743336543
MUC6,0.06643861388116641,0.11372723385529736,0.11694113388524585,0.41441455554691903
CAMK1G,0.06583403549346609,,,
RORC,0.1598636510392765,,,
ANK1,0.14711133778631635,0.016328163038185992,,
GPHA2,0.09689351906052171,0.049313929299940544,0.05822768054790066,0.14061122398268308
ATXN7,0.09340539805179952,0.05041050270140379,,0.035600190320826536
MYCT1,0.1669622471876854,0.1544227087261853,,
SF3A2,0.11387212722686366,0.13343564693877422,,
NUDT12,0.09867804182909247,0.016649857411142797,0.02975783015821763,0.0709365356041407
KIF13A,0.08071125548088265,,,
DTX1,0.031571210455579216,0.016325264890681875,,
ESF1,0.1287795706445173,,0.02975783015821763,
PNPLA8,0.032197373579593486,,,
HEG1,0.11023989705540177,,0.12409290751014469,0.10864108033779994
LIMS2,0.015968530550633325,0.09904507905475018,,
DCUN1D2,0.06331823595730134,,0.029079754601226998,
HYDIN,0.1787784340597721,,,
HCRTR1,0.14567744406620517,0.04892020934377478,0.11842100484254196,0.14339986240636424
RPS6KL1,0.11004624021115779,,0.05847290020002889,0.03469956498096791
ASTN2,0.15840168346104677,0.032742730004393504,0.18371488123036403,0.24920362573319077
CRYBB3,0.015968530550633325,,,
EDA2R,0.17873967851460254,0.08324963619383421,0.08827698140937279,0.07141285498295438
GPR157,0.015968530550633325,0.050836724867551614,,
ACTL7A,0.11469376106441051,,,0.035659665579119086
EFNB3,0.1293026137564794,,,0.10773888684800616
TMIE,0.03201908494616301,0.05071456026809098,,
DUSP1,0.5826854089672744,0.32626010781408943,0.2956716650111792,0.48329120171284956
TUBA8,0.14525168966411187,0.016568709281027567,0.11904910652617598,
CD79A,0.04802988641044206,,0.11090237165801267,0.17772624840931603
EPHA4,0.24242290308189432,,0.08967348080085967,
EGFLAM,0.1687682922979856,0.0328561220051009,,
RPL24,0.11409691136014738,,,
VIPR2,0.13453971205566104,,,
HIC2,0.1511540537880309,0.01600357051772507,0.09074090944184073,0.07002826031013165
ISCA1,0.04816040693225855,,,
ADAMTS7,0.03268485612766207,0.03228360019442855,0.0896130967364532,0.07290984754770061
CECR2,0.11310078000015501,0.049379310378495515,0.2388053349523976,0.034937466014138115
SET,0.09820859318273861,0.033205286198160676,0.18062719434978466,0.28696222544209105
CREB3L1,0.09867804182909247,0.07887627995880199,0.11977405065633384,0.1429977800949666
