,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
PRDM11,0.5959748083242059,0.5417018165457511,0.517101032902387,0.49963208241353774,0.3771243723445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSH2D,0.7382256297918949,0.631854226421461,0.58423968807716,0.5487695200719478,0.5225955967555032,0.493069641649763,0.46880392937740756,0.45046100953274154,0.421984856679288,0.4061510483525879,0.37198424421467025,0.3113807047949148,0.2663177135260896,0.24494081710576668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP1,0.5904299014238773,0.5197401720938081,0.4862165674806743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H4D,0.7364457831325301,0.6251898093470558,0.5711402968739312,0.5365873599869182,0.5107184241019694,0.4818571106603559,0.4588477366255156,0.42928582591030173,0.3934559221200669,0.3831514762516032,0.3664451009354973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALLD,0.64526286966046,0.5679095663910916,0.5188795403242357,0.4890033521380054,0.4441628041714871,0.38426864998873844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBX2,0.5559967141292442,0.5066644170744058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE4C,0.6002875136911281,0.5496597491704628,0.5142280593747857,0.47878341918076384,0.4022305909617559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNH2,0.7248767798466593,0.6504133625780327,0.6117039469183939,0.5835581718583925,0.5565372730784082,0.527214334009465,0.493495287402097,0.4645257071417433,0.43086352983594917,0.4148694908001721,0.38626292466765016,0.36301270941652064,0.3457128614157519,0.3211149293623532,0.3020833333333345,0.29384003974168005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.7480147864184009,0.6525223553230977,0.5962788152404407,0.5561278718011603,0.5298377752027804,0.5025354969574028,0.47603876277711465,0.45171120487576405,0.4204975662520302,0.3805840821566087,0.3329025110782827,0.2876516464471394,0.2619474908607527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCLO,0.6684693318729463,0.5972667454023958,0.5576304808810453,0.5261221486387035,0.498068752414057,0.45686837953572174,0.40853577591929685,0.3672839506172905,0.34473589327564474,0.29015832263585417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
