,Sars,Mers,Iv,Eb
MOV10,2.20242857421058e-06,2.5810382475580084e-07,0.0,4.144812805523661e-06
ATP5G2,0.0,,,0.0
SEMA6A,0.0,4.0635278934189046e-05,,
HYAL3,0.0,0.0003543975804313996,7.84292616805342e-06,
BSN,1.708074880812367e-05,,,
COL12A1,0.0,7.077548925982391e-06,3.243784657837311e-05,
VIL1,0.0,,,3.2362715330526615e-06
HSF2,0.0,,7.490614015149497e-07,
ENAH,6.517336697116427e-07,,,0.0
CCNE2,8.449948466944376e-06,5.612086762737412e-06,4.096581064067312e-06,
PIK3R4,6.340815557546697e-07,,1.4887362142199453e-06,
LRG1,0.0,2.353147967194511e-06,,
APOBEC1,8.11610320217155e-07,2.5675266469586106e-05,,
DENND4C,0.0,2.363604305725538e-06,6.075363367975357e-06,1.4452619763829958e-06
WEE1,6.618553415122477e-05,7.0056346226982846e-06,,3.934251981314485e-06
RXFP4,6.630356469041066e-07,6.057690925160395e-05,0.0,2.1324402296290818e-05
CREG2,1.7984278272453113e-07,0.0,,
CALCA,6.395180917925261e-06,,,7.292193915368978e-06
SAT1,1.6777415092110056e-06,1.9980384915089043e-06,0.0,
ZBTB40,3.12393168530438e-06,,3.176754341570585e-06,0.0
TMC8,6.619407011923232e-06,3.9569890391905025e-07,0.0,0.0
RASGEF1B,5.173784985892966e-05,,,1.0386404910793817e-06
KIRREL3,7.67326756957745e-06,,,
ELF5,0.0019459386147780168,,,5.0938129376773576e-05
PARP4,1.8589648036908255e-05,8.57602325586387e-06,0.00010471676451488115,0.00012964937964107876
BMP7,0.00019487666669438188,,,4.249388646108412e-05
TMEM45A,1.3264628631427237e-07,0.0,,
LSM14B,0.0,,3.1015610149860327e-06,2.5853803847383284e-06
KLHL25,2.3740754449599443e-06,0.0,0.0001126536187701595,
DCUN1D2,4.3489410756023124e-06,,0.0,
ANAPC2,1.2602270432440643e-05,,,2.5853803847383284e-06
ZYG11B,1.544223571865173e-05,0.0,3.892594623086347e-07,
PLEKHB1,1.8827962660262009e-06,2.8225499073893172e-05,1.5182669226083776e-07,
ID4,9.18002569666393e-05,1.0199514231399069e-05,0.0,0.0
ALDH1L2,0.0,,,
MAN2A1,1.8078074750984335e-06,,,
TRIB2,3.736296436490344e-07,,,7.871393507632474e-06
KCNK3,6.678444283331024e-05,0.0,,
SMOC2,8.428945027623618e-07,2.1031943677456336e-07,2.6024753898889954e-06,
PLEKHO1,0.0,1.4054086242309762e-06,,4.7660048685339066e-05
SCG3,6.287851352681239e-06,1.3290533417743513e-05,6.713413407775057e-06,1.3255785694100922e-05
PLXNB3,1.0340474330069459e-06,,9.361075635500363e-06,
THOC2,1.183698139704548e-06,,,
GABRB2,6.282020906210384e-05,,,
FSD1L,0.0,,,
CD226,0.0,,,
LY6E,8.53738600918862e-07,1.7840588321825203e-06,0.0,
ENTPD6,0.0,,,
FCGBP,1.028590489511917e-05,,,
HAS2,0.0005288554988531938,0.0,,
