,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
ACSS1,2,7.36616342811605e-06,-228.0,-0.06881980078478721,-3.853721431099058e-07,-0.37320203401260843,0.0026089975977655116
ACSS2,4,1.312322381612866e-05,-31.0,-0.013247863247863248,-5.839831504658871e-07,-0.22674504689466857,0.0037979973341973074
ACTA1,18,0.0014781555052339602,4265.0,0.9229603981822116,7.463721969129666e-05,293.9735467770909,0.08595680972787377
ACTA2,3,1.9417026886081612e-05,-111.0,-0.048748353096179184,-7.907391513560034e-07,-0.28723127458364434,0.003806558985464345
ACTB,5,0.0004659744843043318,-315.0,-0.4326923076923077,-1.4036990822004009e-05,-0.5619663516814302,0.008142187330191977
ACTC1,4,4.5881399841397266e-05,956.0,0.2423320659062104,5.334078148839871e-07,0.9590324179681221,0.006706222983640303
ACTG1,24,0.02048783350665665,169.0,0.7012448132780082,0.0007951632608038802,4.440776745756808,0.0646316694325769
ACTG2,11,0.00032922544737242843,3573.0,0.7767391304347826,1.0964112522567277e-05,42.19275186584126,0.03195994782489308
ACTL6B,4,5.311085552506808e-05,483.0,0.1588293324564288,3.3106161243296997e-07,0.24838090968042903,0.006169429873354781
ACTL7A,6,1.5113895029280473e-05,-67.0,-0.030454545454545453,-7.86078327584594e-07,-0.26540424835707294,0.004291689689213602
ACTN1,19,0.005542792925489462,83.0,0.3824884792626728,0.0001650663855257055,0.751944461634414,0.03230022804081394
ACTN2,6,0.0007895964864531219,-144.0,-0.488135593220339,-6.93689600819501e-05,-0.593126368531648,0.009484590339670437
ACTN3,3,9.142013567343778e-05,-166.0,-0.13562091503267973,-3.214627682956046e-06,-0.3370281326633365,0.005459794400664729
ACTN4,20,0.02782592366620258,70.0,0.603448275862069,0.0011016919437126958,2.1354233412456534,0.05765253046302048
ACTR10,0,0.0,,,,,0.0
ACTR1A,0,0.0,,,,,0.0
ACTR1B,6,2.782374447075091e-05,877.0,0.22191295546558704,4.552034520749254e-07,0.8269600038910004,0.006424576594274909
ACTR2,1,4.823434320343752e-06,526.0,0.096708953851811,6.02929290042969e-08,inf,0.0022529230864169352
ACTR6,0,0.0,,,,,0.0
ACTR8,0,0.0,,,,,0.0
ACVR1,8,0.00011363352950245257,1525.0,0.4666462668298654,2.7751443225429794e-06,2.5695411186726997,0.011843838857376188
ACVR1B,0,0.0,,,,,0.0
ACVR1C,8,0.00010233890183475779,2001.0,0.48662451361867703,2.0863883300053412e-06,4.4743367571187775,0.012860345248343655
ACY3,0,3.3608043178604724e-06,148.0,0.028793774319066146,-6.904083270457838e-08,-0.670466018204321,0.0
ADA,0,0.0,,,,,0.0
ADAL,0,0.0,,,,,0.0
ADAM10,2,2.7853233947352497e-05,1403.0,0.2579518293804008,3.542525631256385e-07,inf,0.0042131541897765055
ADAM11,2,0.0001817284161625515,-263.0,-0.3271144278606965,-1.0170505481302466e-05,-0.4913072395671166,0.005374515018593979
ADAM12,1,8.834469163185514e-06,-275.0,-0.08636934673366835,-4.5882016548891964e-07,-0.3941155621720502,0.002272593957580994
ADAM15,6,5.1165942795744295e-05,325.0,0.14541387024608501,2.805223229317769e-07,0.09837756062008361,0.006543288210930686
ADAM17,0,0.0,,,,,0.0
ADAM19,4,6.22782860920857e-06,44.0,0.012658227848101266,-1.605374319278375e-07,-0.18170283875758317,0.0032051088928565755
ADAM21,4,1.471499866305765e-05,-86.0,-0.03333333333333333,-5.430541406546218e-07,-0.2650180347485616,0.0038515763617527664
ADAM23,0,0.0,,,,,0.0
ADAM28,0,0.0,,,,,0.0
ADAM32,13,0.0004672341587861521,1248.0,0.6028985507246377,1.3230352117452048e-05,3.919840596857061,0.020855146707445517
ADAM33,8,0.0005379803724898007,29.0,0.04723127035830619,-3.155170225535327e-06,-0.0963333750993109,0.011950604846115731
ADAM8,7,8.823231196515551e-05,1260.0,0.36258992805755397,1.4030186895975069e-06,1.5868761305042478,0.009836990453879868
ADAM9,4,5.716498850129737e-05,1959.0,0.38715415019762844,8.534707105436969e-07,6.89305610012308,0.010162052604133732
ADAMDEC1,0,0.0,,,,,0.0
ADAMTS1,4,0.00025017746960057953,-143.0,-0.25309734513274335,-1.55925633669365e-05,-0.42207777806503144,0.007204137930901762
ADAMTS12,0,1.5307845886479057e-05,-473.0,-0.11956521739130435,-3.496099518718783e-07,-0.6368942685586849,0.0
ADAMTS14,0,0.0,,,,,0.0
ADAMTS15,0,2.147573242021141e-05,-615.0,-0.18040481079495455,-5.803549079339271e-07,-0.6173202095803629,0.0
ADAMTS2,0,0.0003394211592961671,-593.0,-0.7515842839036755,-1.5077111229757777e-05,-0.7020892406004215,0.0
ADAMTS4,2,0.003300639927449135,-78.0,-0.582089552238806,-0.00022343763552719936,-0.5350898759363298,0.010535577965591281
ADAMTS7,6,5.752590123350624e-05,672.0,0.23140495867768596,7.262527413326285e-07,0.4751331788602106,0.007308731133845241
ADAMTS9,6,0.00010867520234990853,1687.0,0.44394736842105265,1.8988091151699413e-06,2.951482693612602,0.011159727018009838
ADAMTSL1,4,7.664008793721097e-06,275.0,0.0698501397002794,3.5515991511188624e-09,0.006341477866853062,0.003573965420869114
ADAMTSL2,3,6.4367745637098e-05,-317.0,-0.20398970398970398,-2.7981302139534895e-06,-0.4619366995978639,0.004714197766583366
ADAMTSL3,2,0.0006218824525631036,-187.0,-0.42596810933940776,-3.3107557021419664e-05,-0.5589111302265787,0.006977150308267246
ADAMTSL4,0,0.00021268568526379205,-564.0,-0.5899581589958159,-1.0207663060517236e-05,-0.664109374834446,0.0
