,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
DCK,0,1.1305645483790078e-05,-539.0,-0.1361111111111111,-4.478044256939793e-07,-0.7108795995286729,0.0
DCLRE1A,0,0.0,,,,,0.0
DCLRE1C,0,2.2471713064366707e-05,-552.0,-0.18743633276740237,-1.1975739405180287e-06,-0.6398708235376506,0.0
DCN,13,0.00047850465995667783,2634.0,0.7597346408999135,1.5265462275694195e-05,14.253931531928055,0.01858636523499806
DCP1A,5,1.4759222118972468e-05,-1.0,-0.0003711952487008166,-8.967104754039098e-07,-0.38107655888312175,0.002636113574752438
DCP1B,0,0.0,,,,,0.0
DCPS,0,0.0,,,,,0.0
DCST1,12,0.00048455349021324395,740.0,0.5082417582417582,1.2043708729003607e-05,1.3510253952757192,0.011296820412209063
DCT,13,0.0006832829131967368,767.0,0.5594456601021153,1.803083159712899e-05,1.7594960312428711,0.013109252756842304
DCTN1,0,0.0041362935526516875,-133.0,-1.1083333333333334,-0.0004870020360085011,-0.7790744367947631,0.0
DCTN3,0,7.854544591066907e-06,-460.0,-0.12965050732807215,-6.158828695662025e-07,-0.6272291447267679,0.0
DCTN4,0,8.158231874649557e-05,-465.0,-0.38398018166804293,-8.564744713563358e-06,-0.6716519292163404,0.0
DCTN5,0,1.3654749911150645e-05,-552.0,-0.1802154750244858,-1.046171240987361e-06,-0.6359779551840189,0.0
DCTN6,0,2.885058335268784e-05,-683.0,-0.22842809364548494,-1.2301711487591516e-06,-0.6877506067121859,0.0
DCUN1D1,0,0.0,,,,,0.0
DCUN1D2,3,2.0171074237102845e-05,1060.0,0.2013677811550152,2.797102326234223e-07,inf,0.002863110559129045
DCUN1D3,10,2.9078872801241042e-05,130.0,0.0683850604944766,-1.6135914313156388e-06,-0.3048503711685947,0.0038397791294828127
DCUN1D4,0,0.0,,,,,0.0
DCXR,0,0.0,,,,,0.0
DDAH1,0,0.0,,,,,0.0
DDAH2,3,2.1510545443883862e-05,182.0,0.05530233971437253,-3.1924462992455367e-07,-0.24712265766948624,0.0026863816199683937
DDB1,21,0.01189272134817754,114.0,0.5643564356435643,0.00045086869679474896,1.7417718172500196,0.030146304674482458
DDB2,0,0.0,,,,,0.0
DDC,8,0.0003148242264593742,1188.0,0.5142857142857142,6.010168942335702e-06,1.7657839359498622,0.00954773527093118
DDHD1,0,0.0,,,,,0.0
DDIT3,2,0.0023068153933993867,-115.0,-0.8041958041958042,-0.0003372223816310758,-0.7147966280883616,0.005775078033920167
DDIT4,2,0.0012937401386885054,-175.0,-0.6554307116104869,-0.0001173112482890043,-0.715571610370362,0.005051206143907259
DDN,3,3.153978729041335e-05,1355.0,0.261633519984553,4.0021180995178075e-07,5.893316394347923,0.005206191121723068
DDOST,0,0.0,,,,,0.0
DDR1,0,0.015426820465495377,-115.0,-2.017543859649123,-0.00151054140803982,-0.8459927425417703,0.0
DDT,0,0.0,,,,,0.0
DDX10,6,3.3469647318592426e-05,1881.0,0.3573328267477204,7.533733292186948e-07,inf,0.00389963459486831
DDX11,0,0.0,,,,,0.0
DDX17,0,4.6289544725957073e-05,-704.0,-0.28864288642886426,-2.0597267100195716e-06,-0.68587856049965,0.0
DDX19A,0,0.0,,,,,0.0
DDX19B,0,0.0,,,,,0.0
DDX20,0,4.125646361164206e-06,-104.0,-0.022001269303998306,-1.718659639944821e-07,-0.6786322954144551,0.0
DDX21,0,0.00037466709745989207,-280.0,-0.5447470817120622,-4.080799774408779e-05,-0.6995660943302724,0.0
DDX23,0,0.0,,,,,0.0
DDX24,0,1.989407013470044e-05,-614.0,-0.20792414493735184,-1.2278847539232083e-06,-0.661723607936699,0.0
DDX26B,0,0.0,,,,,0.0
DDX28,0,8.307048338362103e-06,-427.0,-0.10044695365796283,-3.3453407056378594e-07,-0.7210670580105601,0.0
DDX31,0,0.0,,,,,0.0
DDX3X,6,9.771354423999841e-05,15.0,0.010714285714285714,-3.4203425690777973e-06,-0.3488113618157217,0.004485382081136587
DDX42,0,0.0005145494974069672,-210.0,-0.4861111111111111,-5.4330026624845574e-05,-0.6864914527008797,0.0
DDX46,0,2.776953721910472e-05,-713.0,-0.24620165745856354,-1.3577406154485067e-06,-0.6922726713679711,0.0
DDX47,0,0.0,255.0,0.04844224924012158,0.0,,0.0
DDX5,0,0.00022142366044555924,-354.0,-0.5042735042735043,-2.5154868990696604e-05,-0.6998377925829975,0.0
DDX51,0,3.203331480831714e-05,-785.0,-0.3152610441767068,-2.0417918163613803e-06,-0.7112601548042035,0.0
DDX52,0,1.3510296292977554e-05,-597.0,-0.15272448196469685,-4.889042315739489e-07,-0.7310794395291035,0.0
DDX54,0,0.0,,,,,0.0
DDX55,0,6.22882186004072e-06,-237.0,-0.05172413793103448,-2.2460825677257507e-07,-0.7270213832337304,0.0
DDX56,0,1.7383623973916813e-05,-611.0,-0.17735849056603772,-7.441484360515089e-07,-0.6813053992269277,0.0
DDX58,42,0.039428348629611025,214.0,0.8879668049792531,0.00334403172579361,17.533684540498417,0.0793462897481261
