,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
INPPL1,4.994846275415123e-05,1.700343027517109e-05,1.6905844398100015e-06,8.81239826191993e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFIT3,0.0009038975128241704,0.0020634084992868654,0.003086754527887701,0.0038453962629569857,0.004483953056915191,0.004671272690054278,0.005302471805787692,0.005401334715051089,0.005229925676088065,0.00504893079350001,0.004984884403183044,0.005737039065986397,0.005801853666422504,0.006137068211293245,0.006013680210473662,0.0054155061091325195,0.005138419516132167,0.005750006537979989,0.004382026009525931,0.006436501086542761,0.0070941755273295605,0.006139851224920919,0.007082377416268664,0.009044613886922794,0.010456005467649042,0.01207422684393465,0.012609581198864713,0.012159779114224181,0.012454378047837783,0.015975481854597955,0.017109821614085453,0.016769124442019372,0.014080585951638983,0.014521770514991072,0.016700802588997116,0.018150258996704683,0.020278946967004316,0.015574447212082527,0.01995466388764789,0.02028703923385728,0.01810946147704758,0.017187786598309555,0.014027900998829257,0.01743552286345036,0.01425504186624838,0.017141698606428904,0.02424075460642706,0.02811919446751886,0.026661261777874517,0.020696963233397418
BBS10,8.51214797258217e-05,4.49129011432123e-05,1.7436622734440183e-05,3.2044664146836694e-06,2.2171475288682605e-07,4.311127005750514e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFAND3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMILIN2,7.56068258341658e-05,1.953672024245931e-06,8.307296466543808e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFL1,0.0004337397061502303,0.000836250384000637,0.0011542394194443812,0.001990116892674404,0.0032981588538505426,0.004766346890792176,0.004964445625959473,0.006364618870023642,0.006056719435562086,0.012742564136128747,0.009204782517143057,0.012461089071334601,0.008617459338797321,0.006659142854424919,0.007838060775274717,0.010724676710600354,0.010676167335007307,0.01856214626648841,0.016037784414435968,0.004757475742524132,0.003490113226392158,0.003570055511937829,0.018294554139511077,0.012306742640075974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTBD2,1.4013227164310311e-05,1.5157534467050946e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADHFE1,0.00021882248450414893,0.0001729047292380248,9.792341020413039e-05,2.7131410839778662e-05,1.5416022228598065e-05,6.343049002757466e-05,6.069061126872101e-05,6.220219339240406e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCKS1,7.829244494576337e-05,4.963592077116944e-05,3.748196325688048e-05,5.877648890809122e-06,1.1189525844371026e-06,1.2332104837087294e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
