,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
ABHD8,4,0.823131630665773,695.0,0.14157669586473823,0.008730179240782353,0.9157381920382058,0.24257269465569534
ABI3,6,0.8813355338992143,953.0,0.22287184284377923,0.00741919992845522,0.3822365587479617,0.25176110118327044
ABI3BP,18,1.0859466298230687,590.0,0.5099394987035436,-0.007193551133135884,-0.08747160162010063,0.3189100686162443
ABL1,7,1.0620206604674118,1973.0,0.4191629487996601,0.013162702561852362,0.6997196409276909,0.2971200833163062
ABL2,33,1.3367908424697796,124.0,0.4460431654676259,-0.023826559284434112,-0.1538569473943997,0.37925549508359746
ABLIM2,6,0.6418552387586106,190.0,0.05956112852664577,-0.009242108354159735,-0.24769465803570676,0.18975776469105837
ABLIM3,3,0.455953555198251,235.0,0.04880581516095535,-0.004637502081171165,-0.2485687522243282,0.1462327540605449
ABT1,0,0.0,,,,,0.0
ABTB1,5,0.43309466045648,-308.0,-0.09485679088389283,-0.013714941624173818,-0.36969326255212864,0.1517595433128058
ABTB2,19,1.2177628596424652,870.0,0.6178977272727273,0.00310250333664093,0.04217497741490025,0.3501437085207258
ACACA,0,0.0,,,,,0.0
ACAD11,0,0.0,,,,,0.0
ACAD9,5,0.4266029038688062,-118.0,-0.034064665127020784,-0.01308016621963486,-0.35984132512474726,0.15327069496258716
ACADM,2,0.030045164569642832,-816.0,-0.28167069382119436,-0.02198819003664621,-0.4911298341018717,0.05581071044184916
ACADSB,11,0.7183711763121682,58.0,0.04084507042253521,-0.02240203354361673,-0.3058181896569801,0.22068600597645333
ACAN,7,0.719956560318625,668.0,0.19775014801657786,-0.004628872726718414,-0.12607640683864874,0.21650768827090802
ACAT1,2,0.02747756822242872,-677.0,-0.18727524204702628,-0.017029066257401252,-0.48911949868812366,0.055450928356833
ACAT2,3,0.7064705707720036,505.0,0.10308226168605839,0.004736138793853368,0.4948067771919995,0.20182428094842658
ACBD3,1,0.03273885672175229,-649.0,-0.18174180901708206,-0.017476290379897876,-0.48913021467422024,0.048755611593170115
ACBD4,9,0.45262067139353657,-322.0,-0.17321140398063475,-0.02341784988279067,-0.3750580120174678,0.17522786261110238
ACBD5,10,0.4207365690062025,-178.0,-0.37473684210526315,-0.05324933206554143,-0.4298390266767168,0.16577227275783402
ACD,0,0.0,,,,,0.0
ACE,3,0.38735074021006144,-231.0,-0.057291666666666664,-0.009798714033946096,-0.35228952774883227,0.131785270974851
ACE2,5,0.8002630093655339,665.0,0.15512013062747843,0.0038870182296650117,0.20199963474105095,0.22370836693835913
ACHE,9,0.32294929978931197,-423.0,-0.4856486796785304,-0.04213179020468058,-0.4462029600125057,0.1467191563245026
ACIN1,0,0.0,,,,,0.0
ACLY,0,0.0,,,,,0.0
ACO1,1,0.45321875999886446,-88.0,-0.5866666666666667,-0.12851080205445603,-0.5396518251847994,0.08438601414224907
ACOT11,0,0.0,,,,,0.0
ACOT7,2,0.4495559449529425,-231.0,-0.05290884104443427,-0.00512950239507191,-0.2686925348311711,0.12875632857539043
ACOT8,0,0.0,,,,,0.0
ACOT9,0,0.0,,,,,0.0
ACOX1,8,1.0176661244240113,1301.0,0.3551733551733552,0.0075731898161444,0.26421847025166056,0.27756386001132516
ACOX2,0,0.0,,,,,0.0
ACOX3,0,0.0,,,,,0.0
ACP1,1,0.011617312664285822,-120.0,-0.024793388429752067,-0.009143647882586502,-0.49215587437550995,0.03838775452500084
ACP2,7,1.0260768394398394,1446.0,0.3379294227623276,0.011930470111478807,0.6178239052789706,0.2879435892682709
ACP5,11,0.9939767002689195,993.0,0.3888018794048551,0.000777111627781317,0.01660011474303193,0.28129589097778473
ACP6,8,0.6384360512694167,307.0,0.10775710775710776,-0.010520340602625397,-0.23313620151645909,0.20616031788955477
ACPL2,0,0.0,,,,,0.0
ACPP,3,0.4021822033471123,212.0,0.04359448899856056,-0.004623283105360705,-0.2505712303555179,0.1414983686401816
ACR,5,0.40086575252738854,-21.0,-0.005998286203941731,-0.012681671848887334,-0.35068748534798677,0.15220791072987197
ACRBP,2,0.0361730030934258,-835.0,-0.5964285714285714,-0.03682397695200047,-0.49805671183831945,0.05504725501236606
ACSBG1,3,0.0815362636573174,-268.0,-0.8993288590604027,-0.07631720062198889,-0.5040828221906993,0.06944777243518045
ACSL1,0,0.0,,,,,0.0
ACSL3,0,0.010467624306223446,-376.0,-0.08539632069043834,-0.009461618339746297,-0.4967414281839492,0.0
ACSL4,10,0.5441975694205874,-160.0,-0.10540184453227931,-0.025923436076512638,-0.3645767387946432,0.19132021426623644
ACSL5,0,0.0,,,,,0.0
ACSM1,0,0.0,,,,,0.0
ACSM3,0,0.0,,,,,0.0
ACSS1,7,0.9148593955625548,900.0,0.24677817384151357,0.0031213270753653426,0.10846093047492501,0.24844385532773444
ACSS2,7,0.3712046380061128,-349.0,-0.1430327868852459,-0.020749547355611624,-0.3963259069991849,0.15541847408244694
ACTA1,0,0.5000930884733528,-142.0,-0.8765432098765432,-0.126441666205879,-0.5650579378707689,0.0
ACTA2,9,1.080864208967132,1739.0,0.45227568270481144,0.011716384567897604,0.41591137856142435,0.30297719498287756
ACTB,13,0.697688306102126,303.0,0.19348659003831417,-0.017487466042687326,-0.24852883689688832,0.23895477290148917
