,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
EPS8,0,0.0006307817713678858,-91.0,-0.015476190476190477,-1.6732772909918564e-05,-0.0007902479909973388,0.0
EPS8L1,2,0.0008856924155686729,-71.0,-0.016198950490531598,-2.1842643905083114e-05,-0.0005168965451496862,0.015701209837854373
EPS8L2,0,0.0009497784035003952,-84.0,-0.016209957545349287,-3.169670474127695e-05,-0.0010037500874215733,0.0
EPSTI1,37,0.42289527323467735,-1.0,-0.034482758620689655,0.0027016674660849116,0.00523890552744343,0.16613293482999933
ERAL1,0,0.00028696153910683217,-90.0,-0.014858841010401188,-6.2851734614031984e-06,-0.0002989646471020872,0.0
ERBB2,0,0.0018480388367933442,-102.0,-0.018431514275388507,-5.219138247276184e-05,-0.0016896503650819807,0.0
ERBB3,3,0.0018250225913970255,-67.0,-0.01990493166963755,8.524872370761771e-06,0.0001392968492990871,0.021269312749515108
ERC1,2,0.001390994078976644,-65.0,-0.020155038759689922,-3.498279422582684e-05,-0.0005623997350600433,0.017684718430964672
ERCC1,0,0.0006390020098716723,-89.0,-0.015352768673451785,-1.7384376142095398e-05,-0.0008133720761428568,0.0
ERCC3,0,0.0013239163399472416,-71.0,-0.01759167492566898,-5.415263687390953e-05,-0.0010615532351714583,0.0
ERCC4,0,0.0017017408605819327,-68.0,-0.015996236179722418,-6.758179354992427e-05,-0.0013626323139876812,0.0
ERCC5,0,0.0018809500925433922,-76.0,-0.017059483726150394,-6.302974052492527e-05,-0.0015018601458238307,0.0
ERCC6,0,0.00040964708072020614,-85.0,-0.014537369591243373,-1.1285183317860659e-05,-0.0005319024254566504,0.0
ERCC8,0,0.000714495224168312,-102.0,-0.015892801495793082,-1.8628317732312383e-05,-0.0009040959792985624,0.0
EREG,23,0.6224534741773332,160.0,0.2872531418312388,0.028364092141231784,0.17162299475251971,0.34267627445546045
ERF,0,0.0011014253429814267,-85.0,-0.017393083691426232,-4.044203292065396e-05,-0.0010041664529389345,0.0
ERG,0,0.002695236277767971,-77.0,-0.01950848745882949,-0.00010884583142125454,-0.00211153151728548,0.0
ERGIC1,0,0.0015406727484309278,-95.0,-0.01675780560945493,-4.4336837593719064e-05,-0.0014663665719972588,0.0
ERGIC2,0,0.00015805500631105307,-100.0,-0.01537042729787888,-3.161100126221339e-06,-0.0003008753396866257,0.0
ERGIC3,1,0.003633268887906127,-41.0,-0.028611304954640614,-0.0002279151881525998,-0.002065741313196683,0.018493054520193408
ERLIN1,0,0.0001231495582671993,-100.0,-0.015302218821729151,-2.4629911653424597e-06,-0.00023695088462420694,0.0
ERLIN2,0,0.0017299281550729202,-80.0,-0.016576875259013676,-5.819593009852991e-05,-0.0014300409892321617,0.0
ERN1,5,0.4394342936531489,594.0,0.1275225418634607,0.009881246448653257,0.2390936098391617,0.21339666686617878
ERN2,1,0.0018093633197742015,-62.0,-0.016454352441613588,-3.1949169966301316e-05,-0.0006057273571648662,0.015991739307514963
ERP29,2,0.003244395617705404,-47.0,-0.025767543859649123,-9.854866740365009e-05,-0.0010092954751767906,0.021803352287951116
ERRFI1,7,0.009111757636174113,-21.0,-0.0430327868852459,-0.00012083621216682494,-0.0006933585246356929,0.038322691833811096
ESCO1,1,0.0016804323720923569,-81.0,-0.014748725418790968,1.3073039058991015e-05,0.0004216695853132987,0.015955987830681844
ESCO2,3,0.0020721606199704244,-65.0,-0.02032520325203252,-5.730288899497005e-06,-9.151686164286977e-05,0.021905205303846553
ESD,1,0.002258687976164154,-56.0,-0.018598472268349386,-9.513392195520387e-05,-0.001362917458490188,0.01670954213187759
ESF1,6,0.028638248965537648,19.0,0.007202426080363912,0.0010759074368292543,0.013777243382682467,0.060674800016181356
ESPN,0,0.002184693419820924,-72.0,-0.0182370820668693,-8.642999201365076e-05,-0.0016767804217064104,0.0
ESR1,5,0.027254805046724288,112.0,0.03236058942502167,0.0010443980826648352,0.017222201255190576,0.060046333872368234
ESRRA,1,0.00029281564947237045,-96.0,-0.015007034547444115,-5.615792002266334e-06,-0.00027152214537108036,0.009394998351620975
ESRRG,0,0.0067683297902284565,-32.0,-0.03619909502262444,-0.0004515203635210019,-0.0032518899258813486,0.0
ETAA1,0,0.0007089171701775164,-85.0,-0.01664056382145654,-2.4497630775222046e-05,-0.0007702525724026323,0.0
ETF1,2,0.007947455809738822,-32.0,-0.04177545691906005,-0.0005410149860894387,-0.0036904554349128245,0.025708184270640783
ETFA,0,0.003501346605499958,-42.0,-0.02912621359223301,-0.00021611822104103395,-0.0019718722883972158,0.0
ETFB,4,0.6639177489206297,1032.0,0.17802311540451957,0.01978833260415406,0.9258472689550395,0.3191350104719924
ETHE1,1,0.0006636184219635473,-90.0,-0.016716196136701337,-9.92964301453278e-06,-0.00031851813891183245,0.012192204164298871
ETNK1,0,0.00017413504417396197,-101.0,-0.01557200123342584,-3.482700883478823e-06,-0.0003298680986743777,0.0
ETS1,16,0.3227788292100463,80.0,0.11049723756906077,0.00877487382024053,0.058672872149423745,0.19251758977666764
ETS2,25,0.5367221690368257,76.0,0.1994750656167979,0.023297888400341277,0.12023169934639003,0.2986309091243294
ETV1,2,0.007209942945944402,-29.0,-0.04468412942989214,-0.0003701430838369546,-0.0023703791681524153,0.025630522119259213
ETV3,8,0.5674757048720158,962.0,0.2744650499286733,0.019586407576221453,0.32459761757057753,0.2967266322980745
ETV4,0,0.0004222327698592107,-90.0,-0.015463917525773196,-1.1927424119158314e-05,-0.0005605100172171119,0.0
ETV5,1,0.003691661153687048,-42.0,-0.028945554789800137,-0.00020667483745692716,-0.0018968240486057788,0.018617107337525994
ETV6,1,0.0011095039398617828,-71.0,-0.021482602118003027,-4.227943038778714e-05,-0.0006866252779924899,0.013943951960264031
EVI2A,2,0.0035590182102506716,-42.0,-0.027613412228796843,-0.00018094372250559987,-0.0016915501152735852,0.022038128254832163
EVPL,1,0.002369583439698573,-61.0,-0.020191989407480966,-0.00010390535137422274,-0.0014931849363307662,0.01685763293530921
EWSR1,0,0.00035036856130848346,-93.0,-0.015223440825012277,-9.439670264933808e-06,-0.00044982201432336466,0.0
EXO1,2,0.0020346779381143925,-60.0,-0.027598896044158234,-5.766485071898031e-05,-0.0006523461326988285,0.019392823537066232
EXOC3,0,0.0001231495582671993,-100.0,-0.015302218821729151,-2.4629911653424597e-06,-0.00023695088462420694,0.0
EXOC5,0,0.0010685799892505587,-67.0,-0.015137821961138725,-3.754724017731442e-05,-0.0008918834811489199,0.0
EXOC6B,0,0.0001231495582671993,-100.0,-0.015302218821729151,-2.4629911653424597e-06,-0.00023695088462420694,0.0
EXOC8,2,0.00176010197304808,-63.0,-0.015399657785382548,7.74409748643956e-06,0.00015258129796072803,0.01912021507024535
EXOSC3,0,0.0016557189078626028,-56.0,-0.01855533465871438,-8.271269673161552e-05,-0.0011874132488215697,0.0
EXOSC4,0,0.00021570782499036323,-101.0,-0.015668631709587343,-4.3141564998079585e-06,-0.0004035300456219478,0.0
EXOSC5,1,0.0006603012381745921,-64.0,-0.014288903773163653,-1.7026595525812538e-05,-0.00040642275310535963,0.012185129779875428
