	Relative Change
STAT4	0.13130827132360795
TRIM2	0.13072131840002685
ID1	0.13049298840156817
TLR1	0.12971396952598224
ITPKA	0.12937981204608615
NFIL3	0.12884136093433257
SH3TC1	0.12847422247185256
HR	0.12842594718060096
RHEBL1	0.12833315196726028
NEIL3	0.12828637452444686
GDNF	0.1274737851803557
KLHL4	0.12730200662629532
BBC3	0.12724680237111013
UPK3B	0.1271300086226877
ZWINT	0.1267024709221281
MYNN	0.1260444511204596
ADI1	0.12587653890726272
LRG1	0.12521688966815445
IRAK2	0.1250844467006559
TIPARP	0.12502461887223243
HIST4H4	0.12476916523992851
MKX	0.1243678396928629
DUSP8	0.12400730449620005
RHCG	0.12385386617608317
SOX9	0.12354207728696746
CCDC85A	0.12335622547792448
SCNN1B	0.123319915061778
MXD4	0.12331920174504812
CDK5R1	0.12328227461822282
FRS2	0.12284525599111708
PSAT1	0.12222107154308484
MAFF	0.12199953782462569
SLC7A2	0.12163700415805524
IL1R2	0.12078103242723988
RERG	0.12068240311913288
RHOV	0.12039670079208663
ETS2	0.12023169934639003
MMP11	0.11976228861574317
KHK	0.11943568013770484
LAGE3	0.11848265588357344
JUNB	0.11708638347944701
PDGFB	0.11624315987605476
CLDN2	0.11611847968206197
PER1	0.11573291596723363
TRIM56	0.11564575778852375
NUDT8	0.11512356068104662
IL1A	0.11464488959127558
MBOAT1	0.11459420641786412
PIM1	0.1141008454213717
TAGLN	0.11388136941358662
FXYD7	0.1132579221032056
ZBTB43	0.11322886237163908
NR1D1	0.11271451041204028
PLAT	0.11269045796084354
ARL4D	0.11224711903291493
DNM1	0.11152525973036641
OTUD1	0.11130563205722108
SOX7	0.11129596749204383
GATA3	0.11117775408520617
BIRC3	0.11112038050560864
FZD2	0.1107298486654986
FOSL1	0.11062156148135066
TST	0.11044224002880622
MAST4	0.11025869625988878
VNN1	0.10952548443317368
NFKBIA	0.10908249625074817
SPOCK2	0.10788672784637955
SLC6A12	0.10775225612262647
MB	0.1076907597869853
UCP2	0.10751823842878397
ZFP36	0.10744107577233321
FOSB	0.1068593852330122
TMEM160	0.10662747585564705
WDR90	0.10620770306973049
WDR72	0.10610665704196084
RSRC2	0.10574867598061438
TMEM52	0.10555975772888207
CENPM	0.10514967857756961
ADAMTS9	0.10401118592916402
TSPAN8	0.10391367722831629
BACH2	0.10377494934497454
CGNL1	0.10308189097814935
ICAM4	0.10252918897319328
HSF4	0.10239555033918636
KIF12	0.10129198424558106
BCL3	0.10122733125531679
RDM1	0.10110629461734608
LY75	0.10094212951851547
SEMA4A	0.10087135982088014
F5	0.09991096887290211
KAZALD1	0.0997718603198313
ANXA13	0.09945123531095874
TPD52L1	0.09924908097455637
ASNS	0.09889095406058265
NEDD4	0.09885650640899188
ARID3B	0.09812843280893305
NRIP1	0.09808761134545554
CLK1	0.09792824515286627
LTB	0.09786841448942493
RARRES2	0.09739798763380528
PELI1	0.09737063115947907
MARCO	0.09687199510919714
LAMA2	0.09669350760894234
SMTN	0.09639612379499476
SEMA3A	0.09615066457418156
CCNB1	0.09605818208047719
IL31RA	0.09603060899328647
FGG	0.09594915743790644
ALDH3A2	0.09521622565243265
GADD45B	0.09519593603323633
PARP12	0.09511144086985718
ADM2	0.09471472255048703
CDKN1A	0.09468088152997967
ABTB2	0.09438676274945167
NR4A3	0.09437952162336963
IVL	0.09435615900799504
IL1B	0.09433160155647832
ATG16L2	0.09428008222570106
MAFG	0.09403229646727439
CP	0.09387129310163675
ZFHX2	0.09366991835395844
TRAP1	0.09356542591235707
LGALS9	0.09344151822023618
OTUD3	0.09339413462217433
CEBPB	0.09314407819009941
KLF4	0.09298669359869019
TWIST1	0.09251921658915378
ADM	0.09241680229892453
TBC1D22B	0.09234512365694252
MNS1	0.09147296772569803
DEPDC7	0.09106607176182605
PHLDB2	0.09085313969460312
TNFSF13B	0.09021694295941084
TNF	0.09017999732518044
INTS6	0.09009938342086235
IRF1	0.08957402726279816
DDC	0.08939242063030459
HSH2D	0.08907154187061625
ITGB7	0.088721728476498
CCND3	0.08845575031891376
STK32A	0.08832192121716442
TRAF1	0.08800367617792033
DDIT3	0.08783469704973661
PRDX1	0.08775706650395176
CCL20	0.0876789109285939
SERPINB9	0.08660820205189912
IER3	0.0863832708575791
MXD1	0.08627642244455558
KLF10	0.08543557145803124
EPHX1	0.0853240067030496
PRDM1	0.08501990856259936
ICAM1	0.08492426026367657
PHB	0.08466534239704208
TMEM71	0.08454172986463464
CCNL1	0.08412954565475501
IER5	0.08362041614164244
IER2	0.08324847021700112
ATP2A1	0.08315285696624933
CAMK2B	0.08301841287637785
MTSS1	0.08240750493080666
IFI35	0.08236893160876536
RBMS3	0.0822642521091598
POR	0.08163701522720537
RNF157	0.08100562269215879
IL33	0.08085839687591509
RNF183	0.08043251497318457
DDIT4	0.08031915685481339
RAB36	0.0803006021883862
PRPS1	0.08022215853625289
BIRC2	0.07982047996708147
SEMA3G	0.07978506948546618
SLC28A3	0.07962739999183574
PTGS2	0.07934895541319717
KLF6	0.07922580308994444
HES1	0.07909112766188076
PSMB10	0.07906252040816414
