	Euclidean Distance
NR4A3	0.00036394457389750525
TSC22D2	0.0003637288983518831
RASGRP4	0.00036196459639863365
DUSP10	0.0003576496138401063
HIF3A	0.00035579177940533264
RGS22	0.00035214271961170253
ELF5	0.00034917831002901283
MME	0.0003481034617214879
TCF15	0.00034804968146450756
TNFRSF9	0.0003429785018375631
VWF	0.00034070990865545824
NFKBIZ	0.0003407082592180795
CTNNA2	0.0003380032471076239
SYNE1	0.00033718618257010666
BCL2L11	0.0003360981164291462
EDN1	0.00033328362508090167
PTGFR	0.00033280717045645186
SYNPO2	0.00033030573015662253
ATP2A1	0.00032917794461747153
PARP4	0.00031877327110740747
SP110	0.000316153572896068
MCM5	0.00031610903311795404
ABL2	0.0003129313584890632
KALRN	0.0003094362597197928
B2M	0.0003087359834678987
ADM	0.00030521773308494294
DDIT4	0.000302349865876948
IFITM3	0.00029399748908866155
FLOT2	0.00029283118720867826
TSHZ3	0.00028746907186797814
ITGB5	0.0002851503738842404
OGFR	0.0002848655018093792
OLFM1	0.000284403188158039
LAT2	0.0002830904052335794
TIPARP	0.00028264239567916006
ICAM4	0.00028233910608758115
ISLR	0.00028119692516948865
CMYA5	0.000280307311077254
PCSK1N	0.00027996825739983193
PRDX3	0.00027580992360102597
BPNT1	0.0002704679589478224
ANGPTL4	0.0002692399752572322
HIST1H1T	0.00026917549940076664
GTPBP6	0.0002678340501577721
PLAUR	0.0002648597786227475
ZFP2	0.00026482315339062574
FLNA	0.0002646087526935631
CLDN2	0.00026141303688523586
ZBTB43	0.00026097271936293266
BTF3	0.00025854737328914697
NKX1-2	0.0002575820714904115
TRIM69	0.00025606648457895796
MAFB	0.0002546229824976344
CHD2	0.0002537901435054569
GFPT2	0.00025335677326058435
DHRS9	0.0002486547026225709
ZEB1	0.0002472651790857404
GLP2R	0.00024449962039981054
AVIL	0.0002427943206846318
EREG	0.00024131208907009357
MAOB	0.00024098349593590837
SPINT1	0.00024017939272931083
TGM2	0.00023988926885032776
SPN	0.000239496067855849
HCLS1	0.000239255904820878
VSIG1	0.00023886198023894184
SIDT1	0.00023392194260782477
DUSP2	0.00023347599974991574
GRB7	0.00023320293222779166
ITGA2	0.0002318501224936424
NDUFC2	0.00023115052062976823
PDK4	0.00023114484082449154
DUSP6	0.00023028591933628754
FZD2	0.00023013944591887615
