	Number of Increases
ITGA2B	1
ARCN1	1
APPBP2	1
FANCL	1
ITGA5	1
ITGA7	1
CCDC112	1
ITGAL	1
FADS1	1
ITGB1BP1	1
CCDC113	1
F2	1
F10	1
CCDC130	1
EZH1	1
EYA2	1
CCDC134	1
IRF3	1
IRF2BP1	1
FBXO25	1
FBXO34	1
CASC4	1
ARHGDIG	1
FEN1	1
ARHGDIA	1
ARHGAP9	1
FEM1A	1
FDXR	1
FDFT1	1
IMMT	1
IMP3	1
IMP4	1
IMPA1	1
FCRL5	1
FCHO2	1
FCHO1	1
ING2	1
FCGRT	1
ARHGAP27	1
INPP1	1
INSIG1	1
FCF1	1
INSR	1
CASP4	1
IQCC	1
FBXW2	1
IQCF1	1
IQGAP3	1
FBXO5	1
FBXO46	1
EXT2	1
EXT1	1
ANTXR2	1
KCNN4	1
AP2A1	1
ERN2	1
KBTBD7	1
ERGIC3	1
KCNAB1	1
AP1M2	1
CCDC84	1
CCDC89	1
CCK	1
AP1M1	1
AOX1	1
KCNJ3	1
KCNK1	1
KCNMB1	1
EPPK1	1
EXOSC5	1
KCTD10	1
ANXA6	1
EPHB2	1
KCTD2	1
KCTD3	1
KCTD5	1
ANXA4	1
ANXA3	1
CCNA2	1
KHSRP	1
EPHA3	1
KIF13A	1
CCND1	1
KIF1A	1
KATNB1	1
KATNAL1	1
ESCO1	1
AP2B1	1
ITIH1	1
EVPL	1
ITM2A	1
CCDC28A	1
ETV6	1
ITPKC	1
ETV5	1
ITPR3	1
ITSN2	1
IVD	1
APOBEC1	1
APLN	1
CCDC40	1
IWS1	1
CCDC50	1
ETHE1	1
APEH	1
JAK3	1
JARID2	1
CCDC57	1
APC	1
APBB2	1
JMY	1
ESRRA	1
JOSD2	1
JPH3	1
JRK	1
AP4E1	1
ESD	1
CLDN3	1
MKLN1	1
TMEM63B	1
PRSS8	1
PRSS23	1
TMEM174	1
TMEM176B	1
PRR11	1
PRPS2	1
PRPF40A	1
PRPF19	1
PROM2	1
PROCR	1
PRND	1
TMEM45B	1
PRMT5	1
PRKDC	1
TMEM53	1
PRKCZ	1
PRSS33	1
TMEM165	1
PTAR1	1
PSCA	1
PSORS1C2	1
PSME3	1
TMEFF2	1
TMEM106B	1
TMEM106C	1
TMEM107	1
PSMD13	1
TMEM109	1
TMEM130	1
PSMB2	1
PSMB1	1
PSMA7	1
PSIP1	1
TMEM14A	1
PSD3	1
PRKCE	1
TMEM62	1
TMEM64	1
PRKAA2	1
TNFRSF14	1
PPP1R14D	1
TNFRSF18	1
PPP1R14C	1
TNFRSF1A	1
PPP1R14A	1
TNFRSF4	1
PPM1L	1
PPM1G	1
PPM1F	1
TNKS1BP1	1
PPIL6	1
PPIL4	1
PPIL2	1
TNNC1	1
PPP1R1B	1
PPP1R3C	1
TNFAIP8L1	1
PRDM6	1
PRICKLE1	1
PREPL	1
TMEM65	1
PRELP	1
TMEM67	1
TMEM86B	1
PRDM11	1
PPP2R2C	1
TMF1	1
PRCC	1
TMPRSS3	1
TMPRSS6	1
PPP3R1	1
PPP2R5A	1
TMED9	1
PTBP1	1
TCF7L2	1
RAB9B	1
TGFA	1
RAB43	1
TGFB2	1
RAB34	1
TGOLN2	1
RAB33A	1
RAB32	1
THAP2	1
THAP3	1
RAB20	1
RAB1B	1
THOC2	1
THOC5	1
THOC6	1
RAB13	1
TFRC	1
TFPI	1
TMED10	1
TFF2	1
TDG	1
TDRD3	1
TEF	1
TEKT4	1
RAD51AP1	1
RAD50	1
TERT	1
TES	1
TESK2	1
RAD18	1
TEX10	1
RAC1	1
TFAM	1
RABGAP1	1
RABEPK	1
THPO	1
RAB11FIP5	1
QPCTL	1
THSD4	1
TLN2	1
PTPN6	1
TM4SF5	1
TM6SF2	1
TM7SF3	1
PTHLH	1
PTGES3	1
PTGER2	1
TMC4	1
TMC5	1
TMCC3	1
PTCRA	1
PTCH2	1
PTCD3	1
TMCO4	1
PTPRCAP	1
PTPRE	1
PTPRF	1
TIAM1	1
THUMPD2	1
THY1	1
PYGB	1
PYCR2	1
TIAL1	1
PVR	1
TIGD5	1
PTPRU	1
TIMELESS	1
TIMM17B	1
PUS3	1
PURA	1
TIMP1	1
TIRAP	1
PPIH	1
PPIF	1
TNNI3	1
PHGDH	1
PHF23	1
PHF21A	1
TUFM	1
PHF14	1
PHF10	1
TULP1	1
TUSC1	1
PHACTR2	1
TXNDC11	1
PGD	1
TXNRD1	1
PFKFB4	1
PFKFB3	1
TXNRD2	1
PFKFB1	1
TUBB6	1
PHKA1	1
PPIB	1
TTL	1
TSR1	1
PIP5K1A	1
PIK3R5	1
TSSC4	1
PIK3CD	1
PIK3CA	1
PIGT	1
TTBK2	1
PIGQ	1
PIGO	1
TTC14	1
PICALM	1
PIAS4	1
PIAS1	1
TTK	1
TYMS	1
UACA	1
UAP1	1
PEX12	1
PDE8B	1
UBE2S	1
UBE2W	1
PDE4A	1
PDE2A	1
PDCL	1
PDCD6IP	1
PDCD5	1
UBQLN1	1
UBR1	1
UCHL1	1
UCK2	1
PCOLCE2	1
UFC1	1
PCLO	1
PDGFA	1
UBE2Q1	1
PDIA3	1
PEBP1	1
PEX11B	1
UBAP1	1
UBAP2L	1
PELI3	1
PELI2	1
PECR	1
PDPK1	1
PDIA5	1
PDLIM7	1
PDLIM5	1
PDLIM2	1
UBE2N	1
PDLIM1	1
PDK1	1
PITPNC1	1
TSPAN2	1
PKD2	1
PLSCR4	1
POLR2A	1
TPR	1
POLDIP3	1
TPX2	1
POFUT1	1
TRAF4	1
PNPLA8	1
PNPLA2	1
TRAF7	1
TRAIP	1
TRAK2	1
TRAM1	1
PMM1	1
PLXNA2	1
PLXNA1	1
POLR2E	1
TPCN2	1
POLR3GL	1
TOMM20	1
PPIA	1
TNPO2	1
PPHLN1	1
TOB2	1
PPCDC	1
TOM1L2	1
PPA1	1
TOX3	1
TOMM7	1
TOPORS	1
PORCN	1
POPDC2	1
PON3	1
TOR1B	1
PLVAP	1
TREM1	1
TSPAN13	1
PLOD1	1
TRMT11	1
TROAP	1
TRPC3	1
PLA2G6	1
TRPV4	1
PLA2G3	1
TSC22D4	1
PLA2G1B	1
PLA2G12A	1
PKP3	1
PKNOX1	1
PKN3	1
PKLR	1
TSGA10	1
PKHD1	1
PLB1	1
TRIP10	1
TRIOBP	1
TRIM33	1
PLLP	1
PLEKHO1	1
PLEKHG5	1
TRIM26	1
TRIM28	1
PLEKHG3	1
PLEKHA5	1
PLCH2	1
PLD4	1
PLD3	1
TRIM44	1
TRIM45	1
PLCXD1	1
TRIM59	1
TCP1	1
RAI14	1
UHRF2	1
SEC31A	1
SEC23B	1
SMURF2	1
SEC14L1	1
SNAPC1	1
SDK1	1
SDHC	1
SDF4	1
SDF2	1
SNCAIP	1
SDCBP2	1
SNF8	1
SDAD1	1
SNRPA	1
SNRPA1	1
SCYL2	1
SEC24B	1
SEC61A1	1
SETD5	1
SMPD3	1
SETD2	1
SETBP1	1
SLMAP	1
SERPINF2	1
SERPINB8	1
SLURP1	1
SMAD9	1
SMARCA1	1
SMARCE1	1
SMC2	1
SMG5	1
SMG7	1
SMN1	1
SMO	1
SEC63	1
SNRPB	1
SCRN1	1
SNRPD1	1
SCPEP1	1
SARDH	1
SAR1A	1
SPAG5	1
SAP30BP	1
SAFB	1
SACS	1
SACM1L	1
S100A6	1
S100A3	1
SPG7	1
S100A14	1
S100A10	1
RYR1	1
RYK	1
RUNX3	1
SARS	1
SART3	1
SPAG1	1
SOAT1	1
SNRPE	1
SCP2	1
SNX11	1
SNX16	1
SCHIP1	1
SCG3	1
SOAT2	1
SPACA3	1
SOBP	1
SORD	1
SOX10	1
SOX12	1
SOX2	1
SP1	1
SLCO3A1	1
SETD6	1
RALBP1	1
SLC16A3	1
SLC16A10	1
SLC2A12	1
SLC15A1	1
SLC13A4	1
SLC12A8	1
SKAP2	1
SLC35B4	1
SIRT5	1
SLC35E1	1
SLC35F5	1
SIDT2	1
SIAE	1
SLC37A2	1
SLC37A3	1
SLC38A2	1
SLC29A2	1
SLC16A4	1
SLC9A3R2	1
SLC26A9	1
SLC25A36	1
SLC25A22	1
SLC25A2	1
SLC25A44	1
SLC25A17	1
SLC26A11	1
SLC25A1	1
SLC24A3	1
SLC23A2	1
SLC22A18	1
SLC20A2	1
SLC20A1	1
SLC1A4	1
SLC17A8	1
SLC17A5	1
SHMT2	1
SLC38A3	1
SHF	1
SHCBP1	1
SFTPB	1
SFTPA1	1
SLC4A9	1
SLC5A1	1
SFT2D1	1
SLC6A6	1
SFRP1	1
SLC7A11	1
SLC7A4	1
SLC7A6	1
SLC7A7	1
SLC8A1	1
SEZ6L2	1
SLC8A3	1
SETDB2	1
SFXN2	1
SFXN3	1
SLC4A2	1
SLC41A2	1
SLC39A14	1
SLC39A4	1
SHC1	1
SH3PXD2B	1
SH3PXD2A	1
SLC41A1	1
SH3BP5L	1
SLC4A11	1
SLC41A3	1
SLC43A3	1
SH2B3	1
SLC44A1	1
SGPP1	1
SGCA	1
SPRED2	1
RTTN	1
SPRY1	1
RGMA	1
SYNCRIP	1
SYNE2	1
SYNJ2	1
SYP	1
SYT10	1
SYTL1	1
RFC5	1
SYTL3	1
RETSAT	1
RETNLB	1
RETN	1
TAC4	1
TACR1	1
TAF1	1
REPIN1	1
RGL3	1
SYDE1	1
RTN4RL1	1
SWAP70	1
STXBP6	1
RIN3	1
SUCLG1	1
SUCLG2	1
RIMS1	1
SULT4A1	1
SUMF1	1
RHPN1	1
RHOA	1
RGS6	1
RGS5	1
SUSD4	1
RGS17	1
RGS11	1
SV2A	1
REEP4	1
RECQL5	1
RECQL	1
RECK	1
RASD2	1
RAPSN	1
RAPH1	1
RAPGEF6	1
RAPGEF3	1
TBK1	1
RAPGEF1	1
TBL1XR1	1
TBL3	1
RANGAP1	1
TBPL1	1
TBRG4	1
RANBP17	1
RALY	1
RALGPS1	1
RASSF3	1
TBC1D12	1
TBC1D10C	1
RCBTB2	1
RDH14	1
TAOK1	1
TAOK2	1
TAOK3	1
TAPBPL	1
RCL1	1
RBPMS2	1
RBM22	1
TARDBP	1
RBP1	1
RBMS1	1
RBM3	1
TAX1BP3	1
TBC1D1	1
RIOK3	1
RIPK3	1
RIPK4	1
RPL39	1
SRP14	1
RPS6KA1	1
RPS29	1
SRPK2	1
SRPK3	1
RPS24	1
SS18	1
RPS17	1
SS18L1	1
SSBP3	1
SSH3	1
SSR1	1
SSU72	1
ST3GAL2	1
RPL6	1
RPS6KA3	1
RPS6KA5	1
SRGAP3	1
RRP1B	1
SPRYD3	1
SPRYD4	1
RTN4	1
RTKN	1
RSPRY1	1
SPSB3	1
RRP15	1
SRGAP1	1
RRP12	1
SPTLC2	1
RRBP1	1
RRAS2	1
RRAS	1
SREBF1	1
ST5	1
RPL37A	1
RNASEH1	1
ST7L	1
STK3	1
RNF31	1
RNF26	1
STK38	1
STK4	1
RNF214	1
STMN2	1
STOML2	1
STRBP	1
STRN	1
STRN4	1
STT3A	1
RNF130	1
RNF128	1
RNF125	1
STK25	1
STK11	1
RNF5	1
RPL17	1
RPL36	1
STAC2	1
RPL28	1
STAG3	1
STARD10	1
STARD3	1
RPL13A	1
ROBO4	1
STARD7	1
RPAIN	1
STAU2	1
STEAP2	1
STEAP4	1
ROCK1	1
PCID2	1
SLC25A32	1
NLE1	1
NES	1
NUMA1	1
NPR2	1
ZGPAT	1
NPPB	1
NPNT	1
PARP8	1
NUMBL	1
PARP6	1
NENF	1
NISCH	1
NPL	1
NEO1	1
NIPBL	1
OGT	1
USP19	1
WDR47	1
P2RX2	1
ZCCHC3	1
NEU1	1
NEU3	1
P2RX3	1
WDR44	1
PARP11	1
NPHP3	1
NOL11	1
PARL	1
WDR55	1
ZHX3	1
XPNPEP3	1
PATZ1	1
XPO1	1
NR2C2	1
OPA3	1
NDUFB5	1
NR1H4	1
XPO6	1
PAWR	1
ZMYM2	1
OLFML2B	1
YTHDF1	1
OLFML1	1
VPS53	1
NR1H3	1
NEIL1	1
NDUFS8	1
ZMIZ2	1
ZC3H8	1
WDR61	1
WDR60	1
XPOT	1
NQO1	1
NMNAT2	1
ZKSCAN1	1
USP13	1
NEDD1	1
XRCC3	1
NEUROD2	1
NIPA1	1
ZFYVE26	1
NOXO1	1
NXF3	1
PAN3	1
ZFP14	1
PAM	1
WDR24	1
NPB	1
WDR19	1
ZDHHC1	1
WDFY2	1
NXT2	1
ZFAND2A	1
PACSIN1	1
YIF1B	1
NUP188	1
UTS2R	1
NOVA1	1
UST	1
UTRN	1
YARS	1
NOS3	1
OAF	1
NHLRC2	1
ZDHHC8	1
PAK1	1
NICN1	1
PAIP1	1
USP47	1
YIPF3	1
NUPL2	1
NUP62	1
VTN	1
ZFPM1	1
OGDH	1
ZFP91	1
NFATC2IP	1
XRCC4	1
VAMP4	1
NFATC4	1
NPC2	1
WDR35	1
P4HA1	1
XYLB	1
USP32	1
NUP214	1
OSBP	1
ZFP62	1
NPBWR1	1
WDR33	1
NUP37	1
YAF2	1
NUP50	1
NFIX	1
PAPOLA	1
NIP7	1
NINJ2	1
ZNRF3	1
ZCCHC10	1
WDFY3	1
NRBP1	1
ZSWIM6	1
UPF3A	1
VGLL4	1
WWC1	1
WSB2	1
PCDH9	1
NRP1	1
NTHL1	1
UPK1A	1
WNT7B	1
OSGEPL1	1
NRXN2	1
NLRX1	1
WNT6	1
NRBF2	1
WSB1	1
VPS37B	1
NTRK3	1
PCBP4	1
UPF2	1
WNT10A	1
ZSWIM1	1
UNC5C	1
NT5C2	1
OSTM1	1
PCDH19	1
ZSCAN10	1
PCDH7	1
ZBTB9	1
NDUFA10	1
VDAC3	1
NT5DC1	1
WNT10B	1
NRM	1
ZSCAN29	1
UPB1	1
ZBTB11	1
ZBTB1	1
OSGIN1	1
OSBPL8	1
UQCRC1	1
ZSCAN2	1
WDR76	1
NDST2	1
NCK1	1
NKX6-2	1
ZBTB3	1
ZBTB41	1
OPTC	1
ULK3	1
ZXDC	1
NCAPG2	1
NSL1	1
NCKAP1	1
OS9	1
VCAN	1
ULK1	1
ZBTB33	1
OTUD4	1
WDR73	1
UQCRH	1
ZBTB40	1
NUDCD1	1
YES1	0
ADAMTS14	0
CRTC3	0
COL4A3BP	0
ADAMTSL1	0
COPS5	0
COPS2	0
COPA	0
COL4A3	0
SRP9	0
YEATS4	0
ZBTB17	0
SRPX2	0
COPS3	0
COPG2	0
ADAMTSL2	0
SRM	0
YEATS2	0
STIL	0
COPB1	0
COL9A3	0
SRP72	0
STIM2	0
YIPF2	0
ADAMTS7	0
COMMD2	0
STK10	0
STK11IP	0
COMMD5	0
CRMP1	0
STK16	0
STK19	0
COPS6	0
CROCC	0
ZBTB22	0
CRLF3	0
COL5A1	0
COMMD8	0
SRP19	0
CRKL	0
SRP68	0
COMMD9	0
ADPRHL2	0
COL5A2	0
ADRA1B	0
CRTAP	0
YIF1A	0
STIM1	0
ADAMTS2	0
COMP	0
ST3GAL4	0
SRR	0
CPNE2	0
CPNE3	0
CPNE5	0
YWHAZ	0
COX7A2	0
COX6C	0
CPNE8	0
SSR3	0
CPSF1	0
STAMBPL1	0
COX6B1	0
STOM	0
COX6A2	0
CPSF2	0
ADIPOR1	0
ADIPOR2	0
COX4I2	0
SSR2	0
COX7B	0
COX8A	0
YTHDC2	0
ST13	0
ST3GAL5	0
YWHAG	0
ST6GALNAC3	0
ADCY7	0
YWHAE	0
ST6GALNAC4	0
CPLX3	0
ADCYAP1R1	0
YWHAB	0
STAB1	0
YTHDF3	0
YWHAH	0
CPN1	0
YTHDF2	0
STAC3	0
YWHAQ	0
STAG2	0
COX4I1	0
COX18	0
COPS7A	0
ADORA1	0
CREB3L4	0
STEAP1	0
CORO1B	0
ZBTB12	0
SRXN1	0
CORIN	0
COQ9	0
COQ5	0
SRRM2	0
STEAP3	0
SRRM1	0
ADAMTSL3	0
YIPF6	0
COPS7B	0
YIPF5	0
CRELD2	0
YIPF4	0
CORO2A	0
SSBP2	0
COX17	0
STAT6	0
COX15	0
SSNA1	0
CPT2	0
STARD4	0
YPEL5	0
ZBED3	0
STARD8	0
SSBP4	0
CR2	0
CORT	0
CRADD	0
CRAT	0
ZBED4	0
CRBN	0
YLPM1	0
STAT3	0
CREB3	0
CREBZF	0
STYX	0
COL27A1	0
AHI1	0
TAF9	0
TAGLN3	0
XKR8	0
TAL1	0
TAL2	0
CIDEA	0
TALDO1	0
TANC1	0
XBP1	0
CIAPIN1	0
SYT3	0
WWP2	0
CIAO1	0
CHURC1	0
WWP1	0
CHST7	0
CHST5	0
WWOX	0
CHST3	0
WWC2	0
TAF7	0
TAF2	0
XPNPEP2	0
TAF1C	0
SYT5	0
SYT9	0
CLCN3	0
CLCN2	0
CLASP2	0
CLASP1	0
SYTL2	0
XPO4	0
SYTL4	0
SYVN1	0
CKLF	0
AGT	0
AGTPBP1	0
TACC1	0
TACC2	0
AHCTF1	0
CIZ1	0
TAF11	0
TAF12	0
CHST11	0
CHST10	0
TAPT1	0
CHMP4C	0
CHMP1A	0
CHML	0
TBC1D10B	0
CHKB	0
CHIC1	0
TBC1D13	0
TBC1D14	0
CHGA	0
CHERP	0
TBC1D16	0
AKAP1	0
TBC1D17	0
TBC1D2	0
CHD8	0
TBC1D20	0
CHD4	0
CHD3	0
TBC1D23	0
TBC1D24	0
AK3	0
AK1	0
CHRND	0
CHMP5	0
CHRNB2	0
CHRNB1	0
AIFM2	0
AIG1	0
AIP	0
TARS2	0
CHRM4	0
CHRM3	0
CHRM2	0
CHRM1	0
AIRE	0
TAS1R1	0
CHRD	0
CHPT1	0
TASP1	0
CHODL	0
TATDN1	0
TATDN3	0
CHMP7	0
CLCN7	0
SYT17	0
YBX2	0
STYK1	0
CNOT8	0
CNOT7	0
STX7	0
AFAP1L2	0
AFF1	0
STXBP1	0
STXBP2	0
STXBP4	0
CNNM2	0
XYLT2	0
CLDN12	0
SUCLA2	0
CNGA1	0
AFMID	0
CNDP2	0
SULF2	0
XRCC5	0
CMTM5	0
CMTM4	0
AGGF1	0
STX6	0
STX2	0
CNTN4	0
STX1A	0
STON2	0
STOX2	0
STRA6	0
YARS2	0
STRN3	0
COL14A1	0
COL13A1	0
AES	0
STUB1	0
AFAP1	0
COG4	0
YAP1	0
STX16	0
COG1	0
COCH	0
COBLL1	0
COBL	0
COASY	0
CNTROB	0
SUMF2	0
CMKLR1	0
CMAS	0
SUV39H2	0
AGL	0
CLIP3	0
CLIP1	0
SYAP1	0
SYCN	0
XRCC1	0
AGPAT3	0
SYF2	0
XPR1	0
CLEC2D	0
SYN1	0
CLDN7	0
CLDN4	0
SYNGR1	0
AGPS	0
SYNJ2BP	0
XPO7	0
CLDN15	0
SYT13	0
SUZ12	0
AGK	0
CLUAP1	0
CLMN	0
SUMO1	0
CLTC	0
CLTB	0
CLTA	0
SUPT16H	0
SUPT5H	0
CLSTN1	0
SUPT6H	0
CLPX	0
CLPTM1L	0
SURF2	0
CLPS	0
CLPP	0
CLP1	0
SURF4	0
SURF6	0
CLN6	0
CLN5	0
CLN3	0
SRF	0
ARMC8	0
CRYBB3	0
SLC4A1AP	0
DHTKD1	0
DHRSX	0
SLC45A3	0
ABI3	0
DHRS7B	0
DHRS7	0
SLC46A1	0
ZKSCAN5	0
DHPS	0
DHH	0
SLC4A3	0
DHX30	0
DGKZ	0
DGKQ	0
DGKH	0
SLC4A4	0
DGKD	0
ZHX2	0
ZHX1	0
SLC4A7	0
DGCR2	0
ABT1	0
SLC44A3	0
SLC44A2	0
SREBF2	0
ABHD14B	0
ZNRF1	0
ZNHIT1	0
ABHD11	0
SLC39A6	0
DIS3	0
DIRC2	0
ZMYM6	0
SLC39A8	0
SLC39A9	0
ABHD14A	0
ABHD3	0
DHX33	0
SLC43A1	0
DICER1	0
DIABLO	0
SLC43A2	0
DHX8	0
DHX57	0
ABHD6	0
DHX38	0
DHX36	0
DHX34	0
SLC5A12	0
DFFB	0
SLC5A6	0
ACBD3	0
SLIT1	0
ACAN	0
DDX31	0
SLIT3	0
DDX23	0
DDX21	0
ZFP64	0
SLTM	0
DDX19B	0
DDX19A	0
DDX11	0
SLC6A16	0
DDX10	0
SMAD1	0
SMAD2	0
SMAD3	0
DDOST	0
SMAD6	0
ACBD4	0
SMARCAL1	0
DDHD1	0
SMARCC1	0
SLC9A6	0
DDX47	0
ACADS	0
ZFYVE1	0
DERA	0
DEPDC5	0
ABTB1	0
DENR	0
ZFYVE9	0
ZFYVE27	0
DENND2D	0
DENND2C	0
DENND1C	0
DENND1A	0
DEDD2	0
DEDD	0
DECR1	0
DDX6	0
ACAD10	0
DDX56	0
DDX55	0
DDX54	0
ACAD11	0
DDX52	0
DDX5	0
DIXDC1	0
SLC39A13	0
ZNRF2	0
ZSCAN22	0
ABAT	0
DPAGT1	0
DOT1L	0
DONSON	0
DOLPP1	0
ABCA7	0
ABCB10	0
DOK4	0
SLC27A3	0
SLC27A4	0
SLC2A10	0
SLC31A1	0
ABCB7	0
ZSCAN20	0
DOCK7	0
DOCK6	0
DOCK5	0
SLC2A9	0
ABCC4	0
SLC30A4	0
SLC30A5	0
SLC30A6	0
SLC26A6	0
ZWILCH	0
AATF	0
DPEP3	0
DRD2	0
DQX1	0
SLC25A4	0
SLC25A40	0
SLC25A42	0
AACS	0
ZYX	0
DPT	0
DPP9	0
DPP8	0
DPP7	0
SLC25A45	0
DPP3	0
DPM1	0
DPH5	0
DPH3	0
SLC26A2	0
AAMP	0
AARS	0
AASDHPPT	0
AASS	0
SLC30A7	0
DNMT3A	0
SLC39A10	0
DMKN	0
SLC35E4	0
SLC35F2	0
DNAJA3	0
DNAJA1	0
DMXL2	0
ABCD4	0
ZRANB2	0
DMTF1	0
ABCF1	0
DMPK	0
SLC36A3	0
SLC31A2	0
ABCF2	0
SLC38A1	0
DLST	0
ABCF3	0
DLGAP4	0
DLGAP3	0
DLG5	0
ZPBP	0
SLC39A1	0
DLAT	0
SLC35E3	0
ZRANB3	0
SLC35D2	0
SLC35D1	0
SLC33A1	0
SLC35A1	0
DNM2	0
SLC35A2	0
SLC35A4	0
SLC35B1	0
SLC35B2	0
DNASE1L1	0
DNALI1	0
SLC35B3	0
ABCC5	0
DNAJC6	0
DNAJC19	0
ABCC8	0
DNAJC16	0
DNAJC15	0
SLC35C1	0
ZRSR2	0
SLC35C2	0
DNAJC12	0
DNAJC1	0
SMARCD3	0
ACD	0
DDAH2	0
CTNNBL1	0
SPATA5	0
CTSA	0
SPATA6	0
SPATA7	0
CTPS2	0
CTNS	0
ACTR2	0
SPCS1	0
ACTR6	0
SPCS2	0
ACTR8	0
ZC3H3	0
CTNNBIP1	0
ZC3H7A	0
SPEG	0
ACVR1B	0
ZC3H6	0
ACVR2A	0
CTNNA2	0
SPHK2	0
CTLA4	0
SPIB	0
CTSC	0
SPATA2L	0
CTSE	0
SPATA2	0
CUL4B	0
CUL4A	0
SP5	0
CUL2	0
SPACA1	0
CUEDC2	0
CUBN	0
ACTL7A	0
CTTNBP2NL	0
ZCCHC14	0
CTTN	0
CTSZ	0
SPAG16	0
ZC3HAV1L	0
ACTR10	0
ACTR1A	0
SPAG7	0
ZC3H7B	0
SPAST	0
CTSH	0
SPATA18	0
ACY1	0
SPINK2	0
CUTA	0
ZBTB7A	0
CSNK1G2	0
SPSB2	0
CSNK1E	0
CSNK1D	0
CSNK1A1	0
CSK	0
CSF2RA	0
ZBTB8OS	0
SPTLC1	0
ZBTB7B	0
ZBTB45	0
SPINK5	0
ZBTB44	0
CSDC2	0
CSAD	0
SPTY2D1	0
SQLE	0
ADAMDEC1	0
SRBD1	0
SRC	0
ZBTB39	0
CRYGD	0
CSNK2A1	0
ZC3H11A	0
CSNK2B	0
ADAM15	0
SPINT2	0
SPIRE1	0
SPN	0
CTDSP1	0
CTDP1	0
CTCF	0
CTBP2	0
CTBP1	0
CSTF3	0
TBC1D4	0
CSTF2T	0
CSTF1	0
SPOP	0
SPR	0
ACYP1	0
ADA	0
ADAL	0
CSRP2	0
ZC3H15	0
ZC3H14	0
ZC3H13	0
SP3	0
SP2	0
DDAH1	0
ACP2	0
DBR1	0
ZER1	0
SMYD4	0
SNAI3	0
DBN1	0
ACOX3	0
SNAP29	0
ACP1	0
SNAPC3	0
DAZAP1	0
SNAPC5	0
SNPH	0
SNCA	0
ZDHHC9	0
DARS	0
ZDHHC5	0
ACR	0
DAPK3	0
SND1	0
DAPK1	0
SNHG8	0
SNN	0
DBT	0
SMS	0
ACOT8	0
ZFAND3	0
DCUN1D4	0
SMC3	0
SMC5	0
DCUN1D1	0
SMCR8	0
DCTN5	0
ACE	0
DCTN3	0
ZFP41	0
DCST1	0
DCPS	0
DCP1B	0
ACIN1	0
DCN	0
SMPD1	0
DCLRE1A	0
ACLY	0
ZFAND6	0
SMPDL3A	0
DCBLD1	0
ACOT11	0
ZDHHC4	0
ZDHHC3	0
ACTL6B	0
CYB561D1	0
SNX4	0
CYC1	0
SNX7	0
CYBB	0
SNX8	0
CYB5R3	0
CYB5R1	0
ACTB	0
CYB5B	0
CYB561D2	0
CYB561	0
ACSL1	0
CXXC1	0
ACTC1	0
SOCS2	0
SOCS5	0
SOCS6	0
SORBS2	0
SORBS3	0
SOS1	0
SOX1	0
ZCCHC17	0
CYFIP1	0
CYFIP2	0
SNX3	0
ZCCHC7	0
ZDHHC20	0
ZDHHC17	0
SNRPC	0
ACSL5	0
ACSM1	0
ZDHHC13	0
SNRPD3	0
ZCRB1	0
SNRPG	0
SNTA1	0
SNUPN	0
CYP2W1	0
CYP2E1	0
ZCCHC8	0
SNX12	0
SNX13	0
SNX14	0
SNX15	0
SNX24	0
SNX25	0
SNX27	0
TBC1D25	0
TCF3	0
AKAP11	0
TRIP12	0
TRIM8	0
BICC1	0
BHLHB9	0
TRIO	0
BFSP1	0
BFAR	0
UTF1	0
AQP5	0
BET1L	0
TRIP11	0
BECN1	0
TRIM68	0
TRIP6	0
TRMT1	0
AQP8	0
BDH2	0
AQR	0
TRPC2	0
BCORL1	0
USP54	0
ARAF	0
BCLAF1	0
BID	0
AQP2	0
BCL7C	0
TRIM35	0
TRIM10	0
BMPR1B	0
TRIM11	0
TRIM13	0
TRIM23	0
UVRAG	0
TRIM27	0
APOOL	0
BMP1	0
TRIM32	0
APPL1	0
TRIM62	0
TRIM37	0
BLNK	0
BLMH	0
UTP6	0
TRIM39	0
APRT	0
TRIM41	0
BIRC6	0
UTP20	0
AQP11	0
TRPM7	0
TRPS1	0
CHCHD6	0
BBS1	0
BCAP29	0
BCAN	0
TSPAN14	0
USP38	0
BBS9	0
BBS7	0
TSPAN32	0
TSPAN5	0
TSPAN6	0
BBS10	0
TSPAN9	0
ARFIP1	0
TSPYL1	0
BAZ2A	0
ARHGAP1	0
ARHGAP10	0
BAX	0
TSR2	0
ARHGAP11A	0
ARHGAP12	0
BASP1	0
BARX2	0
ARFIP2	0
TSNAX	0
TRPT1	0
TSEN54	0
TRPV2	0
USP5	0
TRRAP	0
TSC1	0
BCL2L12	0
TSC2	0
USP48	0
TSEN34	0
BCL11A	0
ARF1	0
BCKDK	0
TSN	0
BCKDHB	0
ARF3	0
BCKDHA	0
BCHE	0
USP46	0
BCAT2	0
ARFGAP1	0
TSHB	0
USP39	0
TSHZ1	0
BMS1	0
UXS1	0
BNIP2	0
C1GALT1	0
C1QTNF6	0
TOR1AIP2	0
VASP	0
C1QTNF4	0
VASH2	0
TOR2A	0
APAF1	0
TPBG	0
VARS	0
C1GALT1C1	0
TPCN1	0
AP3S2	0
BZW2	0
BZW1	0
BYSL	0
BUD31	0
BUB3	0
APBA3	0
TPD52	0
APBB1	0
BTNL9	0
TPI1	0
TOR1AIP1	0
TOR1A	0
TRIAP1	0
CABYR	0
TOB1	0
CACNG6	0
